id,number,compound_id,created_at,updated_at,source_id,source_type
1,FDB003998,13798,2019-08-01 18:38:52 UTC,2019-08-01 18:38:52 UTC,,
2,FDB030672,14616,2019-08-01 18:38:54 UTC,2019-08-01 18:38:54 UTC,,
3,FDB020538,23246,2019-08-01 18:38:54 UTC,2019-08-01 18:38:54 UTC,,
4,FDB017197,2613,2019-08-01 18:38:57 UTC,2019-08-01 18:38:57 UTC,,
5,FDB019855,19857,2019-08-01 18:39:02 UTC,2019-08-01 18:39:02 UTC,,
6,FDB003847,812,2019-08-01 18:39:02 UTC,2019-08-01 18:39:02 UTC,,
7,FDB003828,812,2019-08-01 18:39:02 UTC,2019-08-01 18:39:02 UTC,,
8,FDB003835,812,2019-08-01 18:39:03 UTC,2019-08-01 18:39:03 UTC,,
9,FDB015986,3973,2019-08-01 18:39:03 UTC,2019-08-01 18:39:03 UTC,,
10,FDB008769,3935,2019-08-01 18:39:05 UTC,2019-08-01 18:39:05 UTC,,
11,FDB008770,4007,2019-08-01 18:39:05 UTC,2019-08-01 18:39:05 UTC,,
12,FDB000688,11939,2019-08-01 18:39:07 UTC,2019-08-01 18:39:07 UTC,,
13,FDB015731,4804,2019-08-01 18:39:10 UTC,2019-08-01 18:39:10 UTC,,
14,FDB015758,18350,2019-08-01 18:39:15 UTC,2019-08-01 18:39:15 UTC,,
15,FDB013747,18350,2019-08-01 18:39:15 UTC,2019-08-01 18:39:15 UTC,,
16,FDB013748,18350,2019-08-01 18:39:15 UTC,2019-08-01 18:39:15 UTC,,
17,FDB004540,5207,2019-08-01 18:39:27 UTC,2019-08-01 18:39:27 UTC,,
18,FDB001483,5207,2019-08-01 18:39:27 UTC,2019-08-01 18:39:27 UTC,,
19,FDB003809,5207,2019-08-01 18:39:27 UTC,2019-08-01 18:39:27 UTC,,
20,FDB016272,31299,2019-08-01 18:39:27 UTC,2019-08-01 18:39:27 UTC,,
21,FDB013282,13284,2019-08-01 18:39:32 UTC,2019-08-01 18:39:32 UTC,,
22,FDB003292,5407,2019-08-01 18:39:32 UTC,2019-08-01 18:39:32 UTC,,
23,FDB015833,30827,2019-08-01 18:39:33 UTC,2019-08-01 18:39:33 UTC,,
24,FDB014598,14614,2019-08-01 18:39:33 UTC,2019-08-01 18:39:33 UTC,,
25,FDB014193,14614,2019-08-01 18:39:33 UTC,2019-08-01 18:39:33 UTC,,
26,FDB021147,21154,2019-08-01 18:39:33 UTC,2019-08-01 18:39:33 UTC,,
27,FDB008239,4561,2019-08-01 18:39:34 UTC,2019-08-01 18:39:34 UTC,,
28,FDB008082,31366,2019-08-01 18:39:34 UTC,2019-08-01 18:39:34 UTC,,
29,FDB006672,21970,2019-08-01 18:39:39 UTC,2019-08-01 18:39:39 UTC,,
30,FDB006066,21970,2019-08-01 18:39:39 UTC,2019-08-01 18:39:39 UTC,,
31,FDB007648,21970,2019-08-01 18:39:39 UTC,2019-08-01 18:39:39 UTC,,
32,FDB030385,20091,2019-08-01 18:39:41 UTC,2019-08-01 18:39:41 UTC,,
33,FDB013147,20091,2019-08-01 18:39:41 UTC,2019-08-01 18:39:41 UTC,,
34,FDB000457,20091,2019-08-01 18:39:41 UTC,2019-08-01 18:39:41 UTC,,
35,FDB015987,18955,2019-08-01 18:39:45 UTC,2019-08-01 18:39:45 UTC,,
36,FDB015988,18955,2019-08-01 18:39:45 UTC,2019-08-01 18:39:45 UTC,,
37,FDB005921,1462,2019-08-01 18:39:45 UTC,2019-08-01 18:39:45 UTC,,
38,FDB029665,1462,2019-08-01 18:39:45 UTC,2019-08-01 18:39:45 UTC,,
39,FDB014963,1413,2019-08-01 18:39:45 UTC,2019-08-01 18:39:45 UTC,,
40,FDB017556,1413,2019-08-01 18:39:45 UTC,2019-08-01 18:39:45 UTC,,
41,FDB015967,7476,2019-08-01 18:39:46 UTC,2019-08-01 18:39:46 UTC,,
42,FDB003993,7476,2019-08-01 18:39:46 UTC,2019-08-01 18:39:46 UTC,,
43,FDB015995,21928,2019-08-01 18:39:46 UTC,2019-08-01 18:39:46 UTC,,
44,FDB015997,21928,2019-08-01 18:39:46 UTC,2019-08-01 18:39:46 UTC,,
45,FDB007057,14604,2019-08-01 18:39:47 UTC,2019-08-01 18:39:47 UTC,,
46,FDB003818,14604,2019-08-01 18:39:47 UTC,2019-08-01 18:39:47 UTC,,
47,FDB005916,13525,2019-08-01 18:39:47 UTC,2019-08-01 18:39:47 UTC,,
48,FDB029779,13525,2019-08-01 18:39:47 UTC,2019-08-01 18:39:47 UTC,,
49,FDB014507,5517,2019-08-01 18:39:47 UTC,2019-08-01 18:39:47 UTC,,
50,FDB014287,5517,2019-08-01 18:39:47 UTC,2019-08-01 18:39:47 UTC,,
51,FDB000933,31083,2019-08-01 18:39:47 UTC,2019-08-01 18:39:47 UTC,,
52,FDB004267,31083,2019-08-01 18:39:47 UTC,2019-08-01 18:39:47 UTC,,
53,FDB008394,20364,2019-08-01 18:39:48 UTC,2019-08-01 18:39:48 UTC,,
54,FDB017643,20364,2019-08-01 18:39:48 UTC,2019-08-01 18:39:48 UTC,,
55,FDB012134,4161,2019-08-01 18:39:48 UTC,2019-08-01 18:39:48 UTC,,
56,FDB008756,3995,2019-08-01 18:39:48 UTC,2019-08-01 18:39:48 UTC,,
57,FDB016744,8345,2019-08-01 18:39:48 UTC,2019-08-01 18:39:48 UTC,,
58,FDB021845,8345,2019-08-01 18:39:48 UTC,2019-08-01 18:39:48 UTC,,
59,FDB017639,16880,2019-08-01 18:39:48 UTC,2019-08-01 18:39:48 UTC,,
60,FDB016874,16880,2019-08-01 18:39:48 UTC,2019-08-01 18:39:48 UTC,,
61,FDB004497,11411,2019-08-01 18:39:48 UTC,2019-08-01 18:39:48 UTC,,
62,FDB004498,11411,2019-08-01 18:39:48 UTC,2019-08-01 18:39:48 UTC,,
63,FDB009782,21183,2019-08-01 18:39:48 UTC,2019-08-01 18:39:48 UTC,,
64,FDB003933,30409,2019-08-01 18:39:49 UTC,2019-08-01 18:39:49 UTC,,
65,FDB012483,30409,2019-08-01 18:39:49 UTC,2019-08-01 18:39:49 UTC,,
66,FDB021769,13826,2019-08-01 18:39:49 UTC,2019-08-01 18:39:49 UTC,,
67,FDB006956,10418,2019-08-01 18:39:49 UTC,2019-08-01 18:39:49 UTC,,
68,FDB015479,10418,2019-08-01 18:39:49 UTC,2019-08-01 18:39:49 UTC,,
69,FDB008742,12833,2019-08-01 18:39:49 UTC,2019-08-01 18:39:49 UTC,,
70,FDB009015,12833,2019-08-01 18:39:49 UTC,2019-08-01 18:39:49 UTC,,
71,FDB011814,31375,2019-08-01 18:39:50 UTC,2019-08-01 18:39:50 UTC,,
72,FDB002451,31375,2019-08-01 18:39:50 UTC,2019-08-01 18:39:50 UTC,,
73,FDB010776,1030,2019-08-01 18:39:50 UTC,2019-08-01 18:39:50 UTC,,
74,FDB004453,2571,2019-08-01 18:39:50 UTC,2019-08-01 18:39:50 UTC,,
75,FDB017125,2571,2019-08-01 18:39:51 UTC,2019-08-01 18:39:51 UTC,,
76,FDB014987,13710,2019-08-01 18:39:51 UTC,2019-08-01 18:39:51 UTC,,
77,FDB014988,13710,2019-08-01 18:39:51 UTC,2019-08-01 18:39:51 UTC,,
78,FDB021658,15061,2019-08-01 18:39:51 UTC,2019-08-01 18:39:51 UTC,,
79,FDB015059,15061,2019-08-01 18:39:51 UTC,2019-08-01 18:39:51 UTC,,
80,FDB017227,12189,2019-08-01 18:39:51 UTC,2019-08-01 18:39:51 UTC,,
81,FDB013799,14956,2019-08-01 18:39:51 UTC,2019-08-01 18:39:51 UTC,,
82,FDB005875,14956,2019-08-01 18:39:52 UTC,2019-08-01 18:39:52 UTC,,
83,FDB014703,14705,2019-08-01 18:39:52 UTC,2019-08-01 18:39:52 UTC,,
84,FDB014704,14705,2019-08-01 18:39:52 UTC,2019-08-01 18:39:52 UTC,,
85,FDB007779,7831,2019-08-01 18:39:52 UTC,2019-08-01 18:39:52 UTC,,
86,FDB007790,7831,2019-08-01 18:39:52 UTC,2019-08-01 18:39:52 UTC,,
87,FDB021850,15057,2019-08-01 18:39:53 UTC,2019-08-01 18:39:53 UTC,,
88,FDB003890,14519,2019-08-01 18:39:53 UTC,2019-08-01 18:39:53 UTC,,
89,FDB018509,12226,2019-08-01 18:39:53 UTC,2019-08-01 18:39:53 UTC,,
90,FDB030699,12226,2019-08-01 18:39:53 UTC,2019-08-01 18:39:53 UTC,,
91,FDB017309,17313,2019-08-01 18:39:53 UTC,2019-08-01 18:39:53 UTC,,
92,FDB002753,17313,2019-08-01 18:39:54 UTC,2019-08-01 18:39:54 UTC,,
93,FDB018256,17327,2019-08-01 18:39:54 UTC,2019-08-01 18:39:54 UTC,,
94,FDB002755,17327,2019-08-01 18:39:54 UTC,2019-08-01 18:39:54 UTC,,
95,FDB017967,283,2019-08-01 18:39:54 UTC,2019-08-01 18:39:54 UTC,,
96,FDB018348,283,2019-08-01 18:39:54 UTC,2019-08-01 18:39:54 UTC,,
97,FDB017966,284,2019-08-01 18:39:54 UTC,2019-08-01 18:39:54 UTC,,
98,FDB018350,284,2019-08-01 18:39:54 UTC,2019-08-01 18:39:54 UTC,,
99,FDB006600,444,2019-08-01 18:39:54 UTC,2019-08-01 18:39:54 UTC,,
100,FDB011991,444,2019-08-01 18:39:54 UTC,2019-08-01 18:39:54 UTC,,
101,FDB000866,240,2019-08-01 18:39:54 UTC,2019-08-01 18:39:54 UTC,,
102,FDB004557,240,2019-08-01 18:39:54 UTC,2019-08-01 18:39:54 UTC,,
103,FDB021038,11813,2019-08-01 18:39:54 UTC,2019-08-01 18:39:54 UTC,,
104,FDB010826,11813,2019-08-01 18:39:54 UTC,2019-08-01 18:39:54 UTC,,
105,FDB021749,20498,2019-08-01 18:39:55 UTC,2019-08-01 18:39:55 UTC,,
106,FDB014189,14193,2019-08-01 18:39:55 UTC,2019-08-01 18:39:55 UTC,,
107,FDB014191,14193,2019-08-01 18:39:55 UTC,2019-08-01 18:39:55 UTC,,
108,FDB013889,4153,2019-08-01 18:39:55 UTC,2019-08-01 18:39:55 UTC,,
109,FDB000456,4153,2019-08-01 18:39:55 UTC,2019-08-01 18:39:55 UTC,,
110,FDB020569,21198,2019-08-01 18:39:55 UTC,2019-08-01 18:39:55 UTC,,
111,FDB021191,21198,2019-08-01 18:39:55 UTC,2019-08-01 18:39:55 UTC,,
112,FDB011675,31248,2019-08-01 18:39:56 UTC,2019-08-01 18:39:56 UTC,,
113,FDB006912,1537,2019-08-01 18:39:56 UTC,2019-08-01 18:39:56 UTC,,
114,FDB006991,1537,2019-08-01 18:39:56 UTC,2019-08-01 18:39:56 UTC,,
115,FDB017965,285,2019-08-01 18:39:56 UTC,2019-08-01 18:39:56 UTC,,
116,FDB018349,285,2019-08-01 18:39:56 UTC,2019-08-01 18:39:56 UTC,,
117,FDB004679,19139,2019-08-01 18:39:56 UTC,2019-08-01 18:39:56 UTC,,
118,FDB020357,19139,2019-08-01 18:39:56 UTC,2019-08-01 18:39:56 UTC,,
119,FDB031145,12163,2019-08-01 18:39:56 UTC,2019-08-01 18:39:56 UTC,,
120,FDB006287,6563,2019-08-01 18:39:56 UTC,2019-08-01 18:39:56 UTC,,
121,FDB030981,6563,2019-08-01 18:39:56 UTC,2019-08-01 18:39:56 UTC,,
122,FDB014163,18210,2019-08-01 18:39:56 UTC,2019-08-01 18:39:56 UTC,,
123,FDB002494,18210,2019-08-01 18:39:56 UTC,2019-08-01 18:39:56 UTC,,
124,FDB001896,7713,2019-08-01 18:39:57 UTC,2019-08-01 18:39:57 UTC,,
125,FDB018647,7713,2019-08-01 18:39:57 UTC,2019-08-01 18:39:57 UTC,,
126,FDB030848,17469,2019-08-01 18:39:57 UTC,2019-08-01 18:39:57 UTC,,
127,FDB014069,17469,2019-08-01 18:39:57 UTC,2019-08-01 18:39:57 UTC,,
128,FDB030849,15704,2019-08-01 18:39:57 UTC,2019-08-01 18:39:57 UTC,,
129,FDB015664,15704,2019-08-01 18:39:57 UTC,2019-08-01 18:39:57 UTC,,
130,FDB002927,4029,2019-08-01 18:39:57 UTC,2019-08-01 18:39:57 UTC,,
131,FDB030681,4029,2019-08-01 18:39:57 UTC,2019-08-01 18:39:57 UTC,,
132,FDB006457,5218,2019-08-01 18:39:58 UTC,2019-08-01 18:39:58 UTC,,
133,FDB004733,5218,2019-08-01 18:39:58 UTC,2019-08-01 18:39:58 UTC,,
134,FDB012820,31395,2019-08-01 18:40:02 UTC,2019-08-01 18:40:02 UTC,,
135,FDB012821,31395,2019-08-01 18:40:02 UTC,2019-08-01 18:40:02 UTC,,
136,FDB019041,19047,2019-08-01 18:40:07 UTC,2019-08-01 18:40:07 UTC,,
137,FDB019042,19047,2019-08-01 18:40:07 UTC,2019-08-01 18:40:07 UTC,,
138,FDB031179,12365,2019-08-01 18:40:07 UTC,2019-08-01 18:40:07 UTC,,
139,FDB006298,12365,2019-08-01 18:40:07 UTC,2019-08-01 18:40:07 UTC,,
140,FDB030895,7245,2019-08-01 18:40:07 UTC,2019-08-01 18:40:07 UTC,,
141,FDB001478,7245,2019-08-01 18:40:07 UTC,2019-08-01 18:40:07 UTC,,
142,FDB003592,10703,2019-08-01 18:40:07 UTC,2019-08-01 18:40:07 UTC,,
143,FDB003647,10703,2019-08-01 18:40:07 UTC,2019-08-01 18:40:07 UTC,,
144,FDB013241,13243,2019-08-01 18:40:07 UTC,2019-08-01 18:40:07 UTC,,
145,FDB015583,31422,2019-08-01 18:40:08 UTC,2019-08-01 18:40:08 UTC,,
146,FDB015585,31422,2019-08-01 18:40:08 UTC,2019-08-01 18:40:08 UTC,,
147,FDB013588,13785,2019-08-01 18:40:10 UTC,2019-08-01 18:40:10 UTC,,
148,FDB008871,10866,2019-08-01 18:40:11 UTC,2019-08-01 18:40:11 UTC,,
149,FDB008872,10866,2019-08-01 18:40:11 UTC,2019-08-01 18:40:11 UTC,,
150,FDB014695,21785,2019-08-01 18:40:11 UTC,2019-08-01 18:40:11 UTC,,
151,FDB013519,21785,2019-08-01 18:40:11 UTC,2019-08-01 18:40:11 UTC,,
152,FDB016422,1237,2019-08-01 18:40:15 UTC,2019-08-01 18:40:15 UTC,,
153,FDB003467,1237,2019-08-01 18:40:15 UTC,2019-08-01 18:40:15 UTC,,
154,FDB018771,11357,2019-08-01 18:40:20 UTC,2019-08-01 18:40:20 UTC,,
155,FDB018779,1238,2019-08-01 18:40:22 UTC,2019-08-01 18:40:22 UTC,,
156,FDB020971,1238,2019-08-01 18:40:23 UTC,2019-08-01 18:40:23 UTC,,
157,FDB020837,11463,2019-08-01 18:40:27 UTC,2019-08-01 18:40:27 UTC,,
158,FDB008812,2304,2019-08-01 18:40:27 UTC,2019-08-01 18:40:27 UTC,,
159,FDB019550,11464,2019-08-01 18:40:27 UTC,2019-08-01 18:40:27 UTC,,
160,FDB008418,11464,2019-08-01 18:40:27 UTC,2019-08-01 18:40:27 UTC,,
161,FDB002383,20471,2019-08-01 18:40:28 UTC,2019-08-01 18:40:28 UTC,,
162,FDB019422,20471,2019-08-01 18:40:28 UTC,2019-08-01 18:40:28 UTC,,
163,FDB030942,3275,2019-08-01 18:40:28 UTC,2019-08-01 18:40:28 UTC,,
164,FDB004319,3275,2019-08-01 18:40:28 UTC,2019-08-01 18:40:28 UTC,,
165,FDB030170,1044,2019-08-01 18:40:28 UTC,2019-08-01 18:40:28 UTC,,
166,FDB003643,15229,2019-08-01 18:40:28 UTC,2019-08-01 18:40:28 UTC,,
167,FDB003644,15229,2019-08-01 18:40:28 UTC,2019-08-01 18:40:28 UTC,,
168,FDB004697,8128,2019-08-01 18:40:29 UTC,2019-08-01 18:40:29 UTC,,
169,FDB008129,8128,2019-08-01 18:40:29 UTC,2019-08-01 18:40:29 UTC,,
170,FDB018739,3231,2019-08-01 18:40:29 UTC,2019-08-01 18:40:29 UTC,,
171,FDB003810,3231,2019-08-01 18:40:29 UTC,2019-08-01 18:40:29 UTC,,
172,FDB003194,3194,2019-08-01 18:40:30 UTC,2019-08-01 18:40:30 UTC,,
173,FDB019427,3194,2019-08-01 18:40:30 UTC,2019-08-01 18:40:30 UTC,,
174,FDB009398,8123,2019-08-01 18:40:30 UTC,2019-08-01 18:40:30 UTC,,
175,FDB003796,3807,2019-08-01 18:40:30 UTC,2019-08-01 18:40:30 UTC,,
176,FDB012754,3807,2019-08-01 18:40:30 UTC,2019-08-01 18:40:30 UTC,,
177,FDB004103,5409,2019-08-01 18:40:31 UTC,2019-08-01 18:40:31 UTC,,
178,FDB002246,5409,2019-08-01 18:40:31 UTC,2019-08-01 18:40:31 UTC,,
179,FDB020873,20880,2019-08-01 18:40:31 UTC,2019-08-01 18:40:31 UTC,,
180,FDB030357,3362,2019-08-01 18:40:32 UTC,2019-08-01 18:40:32 UTC,,
181,FDB007242,3362,2019-08-01 18:40:32 UTC,2019-08-01 18:40:32 UTC,,
182,FDB030581,14509,2019-08-01 18:40:32 UTC,2019-08-01 18:40:32 UTC,,
183,FDB021057,1119,2019-08-01 18:40:32 UTC,2019-08-01 18:40:32 UTC,,
184,FDB006386,1119,2019-08-01 18:40:32 UTC,2019-08-01 18:40:32 UTC,,
185,FDB017943,21353,2019-08-01 18:40:32 UTC,2019-08-01 18:40:32 UTC,,
186,FDB021345,21353,2019-08-01 18:40:32 UTC,2019-08-01 18:40:32 UTC,,
187,FDB004955,31227,2019-08-01 18:40:32 UTC,2019-08-01 18:40:32 UTC,,
188,FDB023094,31227,2019-08-01 18:40:32 UTC,2019-08-01 18:40:32 UTC,,
189,FDB030962,12538,2019-08-01 18:40:32 UTC,2019-08-01 18:40:32 UTC,,
190,FDB027869,8087,2019-08-01 18:40:33 UTC,2019-08-01 18:40:33 UTC,,
191,FDB008075,17647,2019-08-01 18:40:33 UTC,2019-08-01 18:40:33 UTC,,
192,FDB008076,17647,2019-08-01 18:40:33 UTC,2019-08-01 18:40:33 UTC,,
193,FDB003537,12193,2019-08-01 18:40:33 UTC,2019-08-01 18:40:33 UTC,,
194,FDB003562,12193,2019-08-01 18:40:33 UTC,2019-08-01 18:40:33 UTC,,
195,FDB007912,3753,2019-08-01 18:40:33 UTC,2019-08-01 18:40:33 UTC,,
196,FDB007929,3753,2019-08-01 18:40:33 UTC,2019-08-01 18:40:33 UTC,,
197,FDB009847,967,2019-08-01 18:40:34 UTC,2019-08-01 18:40:34 UTC,,
198,FDB021667,11494,2019-08-01 18:40:36 UTC,2019-08-01 18:40:36 UTC,,
199,FDB011779,8174,2019-08-01 18:40:37 UTC,2019-08-01 18:40:37 UTC,,
200,FDB003781,1014,2019-08-01 18:40:37 UTC,2019-08-01 18:40:37 UTC,,
201,FDB031056,1014,2019-08-01 18:40:37 UTC,2019-08-01 18:40:37 UTC,,
202,FDB030715,1512,2019-08-01 18:40:37 UTC,2019-08-01 18:40:37 UTC,,
203,FDB007351,1512,2019-08-01 18:40:37 UTC,2019-08-01 18:40:37 UTC,,
204,FDB030960,11910,2019-08-01 18:40:37 UTC,2019-08-01 18:40:37 UTC,,
205,FDB021459,11910,2019-08-01 18:40:37 UTC,2019-08-01 18:40:37 UTC,,
206,FDB020959,20968,2019-08-01 18:40:39 UTC,2019-08-01 18:40:39 UTC,,
207,FDB020961,20968,2019-08-01 18:40:39 UTC,2019-08-01 18:40:39 UTC,,
208,FDB016174,16142,2019-08-01 18:40:39 UTC,2019-08-01 18:40:39 UTC,,
209,FDB019879,16142,2019-08-01 18:40:39 UTC,2019-08-01 18:40:39 UTC,,
210,FDB006037,8061,2019-08-01 18:40:39 UTC,2019-08-01 18:40:39 UTC,,
211,FDB008149,11773,2019-08-01 18:40:40 UTC,2019-08-01 18:40:40 UTC,,
212,FDB017470,12107,2019-08-01 18:40:40 UTC,2019-08-01 18:40:40 UTC,,
213,FDB012157,12107,2019-08-01 18:40:40 UTC,2019-08-01 18:40:40 UTC,,
214,FDB017471,8057,2019-08-01 18:40:40 UTC,2019-08-01 18:40:40 UTC,,
215,FDB008057,8057,2019-08-01 18:40:40 UTC,2019-08-01 18:40:40 UTC,,
216,FDB000918,10216,2019-08-01 18:40:41 UTC,2019-08-01 18:40:41 UTC,,
217,FDB016851,10216,2019-08-01 18:40:41 UTC,2019-08-01 18:40:41 UTC,,
218,FDB010562,10563,2019-08-01 18:40:41 UTC,2019-08-01 18:40:41 UTC,,
219,FDB006076,10563,2019-08-01 18:40:41 UTC,2019-08-01 18:40:41 UTC,,
220,FDB004977,4926,2019-08-01 18:40:42 UTC,2019-08-01 18:40:42 UTC,,
221,FDB014708,4926,2019-08-01 18:40:42 UTC,2019-08-01 18:40:42 UTC,,
222,FDB029757,19940,2019-08-01 18:40:42 UTC,2019-08-01 18:40:42 UTC,,
223,FDB008218,1328,2019-08-01 18:40:42 UTC,2019-08-01 18:40:42 UTC,,
224,FDB006235,3337,2019-08-01 18:40:43 UTC,2019-08-01 18:40:43 UTC,,
225,FDB004445,3337,2019-08-01 18:40:43 UTC,2019-08-01 18:40:43 UTC,,
226,FDB001909,3344,2019-08-01 18:40:43 UTC,2019-08-01 18:40:43 UTC,,
227,FDB018971,3256,2019-08-01 18:40:43 UTC,2019-08-01 18:40:43 UTC,,
228,FDB003256,3256,2019-08-01 18:40:43 UTC,2019-08-01 18:40:43 UTC,,
229,FDB030495,22685,2019-08-01 18:40:44 UTC,2019-08-01 18:40:44 UTC,,
230,FDB022817,22685,2019-08-01 18:40:44 UTC,2019-08-01 18:40:44 UTC,,
231,FDB012756,12758,2019-08-01 18:40:44 UTC,2019-08-01 18:40:44 UTC,,
232,FDB017616,12758,2019-08-01 18:40:44 UTC,2019-08-01 18:40:44 UTC,,
233,FDB005662,31411,2019-08-01 18:40:44 UTC,2019-08-01 18:40:44 UTC,,
234,FDB007508,31411,2019-08-01 18:40:44 UTC,2019-08-01 18:40:44 UTC,,
235,FDB014728,14730,2019-08-01 18:40:44 UTC,2019-08-01 18:40:44 UTC,,
236,FDB018970,12041,2019-08-01 18:40:45 UTC,2019-08-01 18:40:45 UTC,,
237,FDB011954,12041,2019-08-01 18:40:45 UTC,2019-08-01 18:40:45 UTC,,
238,FDB021469,4253,2019-08-01 18:40:45 UTC,2019-08-01 18:40:45 UTC,,
239,FDB031158,31073,2019-08-01 18:40:45 UTC,2019-08-01 18:40:45 UTC,,
