id,TaxonomyName,Rank,created_at,updated_at
1,Eukaryota,superkingdom,,
2,Viridiplantae,kingdom,,
3,Streptophyta,phylum,,
4,Embryophyta,no rank,,
5,Tracheophyta,no rank,,
6,Spermatophyta,no rank,,
7,Magnoliophyta,no rank,,
8,eudicotyledons,no rank,,
9,Gunneridae,no rank,,
10,Pentapetalae,no rank,,
11,asterids,no rank,,
12,campanulids,no rank,,
13,Apiales,order,,
14,Apiaceae,family,,
15,Apioideae,subfamily,,
16,apioid superclade,no rank,,
17,Selineae,tribe,,
18,Angelica,genus,,
19,Asterales,order,,
20,Asteraceae,family,,
21,Asteroideae,subfamily,,
22,Anthemideae,tribe,,
23,Artemisiinae,subtribe,,
24,Artemisia,genus,,
25,rosids,no rank,,
26,fabids,no rank,,
27,Fabales,order,,
28,Fabaceae,family,,
29,Papilionoideae,subfamily,,
30,Phaseoleae,tribe,,
31,Cajanus,genus,,
32,malvids,no rank,,
33,Sapindales,order,,
34,Rutaceae,family,,
35,Aurantioideae,subfamily,,
36,Citrus,genus,,
37,Liliopsida,class,,
38,Poales,order,,
39,Poaceae,family,,
40,PACMAD clade,no rank,,
41,Panicoideae,subfamily,,
42,Andropogonodae,no rank,,
43,Andropogoneae,tribe,,
44,Anthistiriinae,subtribe,,
45,Cymbopogon,genus,,
46,Heliantheae alliance,no rank,,
47,Heliantheae,tribe,,
48,Helianthus,genus,,
49,Genisteae,tribe,,
50,Lupinus,genus,,
51,lamiids,no rank,,
52,Lamiales,order,,
53,Oleaceae,family,,
54,Oleeae,tribe,,
55,Olea,genus,,
56,Pimpinelleae,tribe,,
57,Pimpinella,genus,,
58,Saxifragales,order,,
59,Grossulariaceae,family,,
60,Ribes,genus,,
61,Lamiaceae,family,,
62,Nepetoideae,subfamily,,
63,Mentheae,tribe,,
64,Satureja,genus,,
65,Malvales,order,,
66,Malvaceae,family,,
67,Tilioideae,subfamily,,
68,Tilia,genus,,
69,Vigna,genus,,
70,Ericales,order,,
71,Ericaceae,family,,
72,Vaccinioideae,subfamily,,
73,Vaccinieae,tribe,,
74,Vaccinium,genus,,
75,Sapindaceae,family,,
76,Nephelium,genus,,
77,Apieae,tribe,,
78,Apium,genus,,
79,Metazoa,kingdom,,
80,Lophotrochozoa,no rank,,
81,Mollusca,phylum,,
82,Gastropoda,class,,
83,Vetigastropoda,subclass,,
84,Haliotoidea,superfamily,,
85,Haliotidae,family,,
86,Haliotis,genus,,
87,Caryophyllales,order,,
88,Amaranthaceae,family,,
89,Amaranthus,genus,,
90,Chordata,phylum,,
91,Craniata,subphylum,,
92,Vertebrata,no rank,,
93,Euteleostomi,no rank,,
94,Mammalia,class,,
95,Eutheria,no rank,,
96,Laurasiatheria,superorder,,
97,Cetartiodactyla,no rank,,
98,Cetacea,order,,
99,Odontoceti,suborder,,
100,Monodontidae,family,,
101,Delphinapterus,genus,,
102,Magnoliidae,no rank,,
103,Magnoliales,order,,
104,Annonaceae,family,,
105,Annona,genus,,
106,Actinopterygii,superclass,,
107,Neopterygii,subclass,,
108,Teleostei,infraclass,,
109,Neoteleostei,no rank,,
110,Acanthomorphata,no rank,,
111,Zeiogadaria,no rank,,
112,Gadariae,no rank,,
113,Gadiformes,order,,
114,Gadoidei,suborder,,
115,Gadidae,family,,
116,Gadus,genus,,
117,Ecdysozoa,no rank,,
118,Arthropoda,phylum,,
119,Crustacea,subphylum,,
120,Malacostraca,class,,
121,Eumalacostraca,subclass,,
122,Eucarida,superorder,,
123,Decapoda,order,,
124,Pleocyemata,suborder,,
125,Brachyura,infraorder,,
126,Eubrachyura,no rank,,
127,Cancroidea,superfamily,,
128,Cancridae,family,,
129,Metacarcinus,genus,,
130,Vitales,order,,
131,Vitaceae,family,,
132,Vitis,genus,,
133,Carangaria,no rank,,
134,Carangiformes,order,,
135,Carangidae,family,,
136,Trachurus,genus,,
137,Eupercaria,no rank,,
138,Perciformes,order,,
139,Cottioidei,suborder,,
140,Hexagrammales,infraorder,,
141,Hexagrammidae,family,,
142,Ophiodon,genus,,
143,Brassicales,order,,
144,Brassicaceae,family,,
145,Brassiceae,tribe,,
146,Sinapis,genus,,
147,Solanales,order,,
148,Solanaceae,family,,
149,Solanoideae,subfamily,,
150,Capsiceae,tribe,,
151,Capsicum,genus,,
152,Stomiatii,no rank,,
153,Osmeriformes,order,,
154,Osmeridae,family,,
155,Osmerus,genus,,
156,Rosales,order,,
157,Rosaceae,family,,
158,Rosoideae,subfamily,,
159,Istiophoriformes,order,,
160,Xiphiidae,family,,
161,Xiphias,genus,,
162,Protacanthopterygii,no rank,,
163,Salmoniformes,order,,
164,Salmonidae,family,,
165,Coregoninae,subfamily,,
166,Coregonus,genus,,
167,Pleuronectiformes,order,,
168,Pleuronectoidei,suborder,,
169,Pleuronectidae,family,,
170,Hippoglossus,genus,,
171,Bivalvia,class,,
172,Fungi,kingdom,,
173,Dikarya,subkingdom,,
174,Basidiomycota,phylum,,
175,Agaricomycotina,subphylum,,
176,Agaricomycetes,class,,
177,Agaricomycetidae,subclass,,
178,Agaricales,order,,
179,Agaricaceae,family,,
180,Agaricus,genus,,
181,Sciaenidae,family,,
182,Leiostomus,genus,,
183,Salmoninae,subfamily,,
184,Salvelinus,genus,,
185,Cottales,infraorder,,
186,Cyclopteridae,family,,
187,Rhodophyta,phylum,,
188,Fagales,order,,
189,Juglandaceae,family,,
190,Juglans,genus,,
191,Ovalentaria,no rank,,
192,Cichlomorphae,superorder,,
193,Cichliformes,order,,
194,Cichlidae,family,,
195,Archelosauria,no rank,,
196,Testudines,order,,
197,Cryptodira,suborder,,
198,Durocryptodira,no rank,,
199,Americhelydia,no rank,,
200,Chelonioidea,superfamily,,
201,Cheloniidae,family,,
202,Chelonia,genus,,
203,Malvoideae,subfamily,,
204,Hibiscus,genus,,
205,Ascomycota,phylum,,
206,Pezizomycotina,subphylum,,
207,Pezizomycetes,class,,
208,Pezizales,order,,
209,Morchellaceae,family,,
210,Cucurbitales,order,,
211,Cucurbitaceae,family,,
212,Benincaseae,tribe,,
213,Cucumis,genus,,
214,Brassica,genus,,
215,Arecaceae,family,,
216,Arecoideae,subfamily,,
217,Cocoseae,tribe,,
218,Attaleinae,subtribe,,
219,Attalea,genus,,
220,Byttnerioideae,subfamily,,
221,Theobroma,genus,,
222,Sapotaceae,family,,
223,Sapotoideae,subfamily,,
224,Vitellaria,genus,,
225,Theaceae,family,,
226,Camellia,genus,,
227,Myristicaceae,family,,
228,Virola,genus,,
229,Malpighiales,order,,
230,Malpighiaceae,family,,
231,Byrsonima,genus,,
232,Solaneae,tribe,,
233,Solanum,genus,,
234,Coreopsideae,tribe,,
235,Thelesperma,genus,,
236,Tunicata,subphylum,,
237,Ascidiacea,class,,
238,Asparagales,order,,
239,Amaryllidaceae,family,,
240,Allioideae,subfamily,,
241,Allieae,tribe,,
242,Allium,genus,,
