canonical_name,flavor_count,example,top_group
butter,4,"butter, buttered, butterscotch, buttery",balsamic
cheese,3,"cheese, cheesy, parmesan",fatty
herb,3,"herb, herbaceous, herbal",herbaceous
clean cloth,3,"clean cloth, clean clothes, clean cloths",
sulfur,3,"sulfur, sulfurous, sulfury",chemical
smoke,3,"smoke, smoked, smoky",smoky
pepper,2,"pepper, peppery",pepper
roast peanut,2,"roasted peanut, roasted peanuts",
intense,2,"intense, intensely",
roast nut,2,"roasted nut, roasted nuts",
cream,2,"cream, creamy",fatty
milk,2,"milk, milky",
fruit,2,"fruit, fruity",fruity
earth,2,"earth, earthy",earthy
roast,2,"roast, roasted",
meat,2,"meat, meaty",meaty
rose,2,"rose, rosy",floral
umami,2,"savory, umami",
anise,2,"anise, aniseed",balsamic
cool,2,"cool, cooling",
fish,2,"fish, fishy",fishy
nut,2,"nut, nutty",nutty
spice,2,"spice, spicy",spicy
fat,2,"fat, fatty",fatty
outdoor,1,outdoor,
other,1,others,balsamic
orri,1,orris,
overripe fruit,1,overripe fruit,
oxyacetaldehyde,1,oxyacetaldehyde,
ozone,1,ozone,
paint,1,paint,
painte,1,painty,
palmarosa,1,palmarosa,
papaya,1,papaya,fruity
paper,1,paper,
parslee,1,parsley,
passion fruit,1,passion fruit,
pastre,1,pastry,
pea,1,pea,
oriental,1,oriental,
new mown hay,1,new mown hay,
nitrile,1,nitrile,
nopyl acetate,1,nopyl acetate,
nut skin,1,nut skin,
nutmeg,1,nutmeg,
oak,1,oak,
oakmos,1,oakmoss,
ocimene,1,ocimene,
odorles,1,odorless,
oil,1,oil,
oile,1,oily,fatty
patchouli,1,patchouli,
old wood,1,old wood,
olibanum,1,olibanum,
onion,1,onion,
opoponax,1,opoponax,
orange,1,orange,citrus
orange blossom,1,orange blossom,
orange flower,1,orange flower,
orange juice,1,orange juice,
orange peel,1,orange peel,
orangepeel,1,orangepeel,
orchid,1,orchid,
old paper,1,old paper,
plum,1,plum,fruity
plum skin,1,plum skin,
pollen,1,pollen,
popcorn,1,popcorn,
pork,1,pork,
potato,1,potato,vegetable
powdere,1,powdery,
powderful,1,powderful,
powerful,1,powerful,
privet,1,privet,
privet blossom,1,privet blossom,
niobe,1,niobe,
propionic,1,propionic,
prune,1,prune,
pulpe,1,pulpy,
pumpkin,1,pumpkin,
pungent,1,pungent,
putrid,1,putrid,
pyrazine,1,pyrazine,
pyridine,1,pyridine,
quince,1,quince,fruity
radiant,1,radiant,
radish,1,radish,
raisin,1,raisin,
profarnesal,1,profarnesal,
peach,1,peach,fruity
peach pit,1,peach-pit,
peanut,1,peanut,nutty
peanut butter,1,peanut butter,
peanutbutter,1,peanutbutter,
pear,1,pear,fruity
pear skin,1,pear skin,
pee,1,peely,
pencil,1,pencil,
penetrat,1,penetrating,
peone,1,peony,
peppermint,1,peppermint,
pleasant,1,pleasant,
pesticide,1,pesticide,
petal,1,petal,
petitgrain,1,petitgrain,
petroleum,1,petroleum,
phenol,1,phenol,
phenolic,1,phenolic,
pine,1,pine,
pine needle,1,pine needle,
pineapple,1,pineapple,fruity
pistachio,1,pistachio,
plant,1,plant,
plastic,1,plastic,chemical
peptone,1,peptone,
liquor,1,liquor,
logenberre,1,logenberry,
longifolone,1,longifolone,
lovage,1,lovage,
low,1,low,
lychee,1,lychee,
mace,1,mace,
macrocyclic,1,macrocyclic,
magnolia,1,magnolia,
mahogane,1,mahogany,
mallow,1,mallow,
malt,1,malt,
nasturtium,1,nasturtium,
maltol,1,maltol,
mandarin,1,mandarin,
mandarin skin,1,mandarin skin,
mango,1,mango,fruity
maple,1,maple,woody
maple syrup,1,maple syrup,
marigold,1,marigold,floral
marine,1,marine,
marshmallow,1,marshmallow,
match,1,matches,
may blossom,1,may blossom,
meadow,1,meadow,
malte,1,malty,
laundre,1,laundry,
lavandin,1,lavandin,
lavender,1,lavender,floral
leaf,1,leaf,
leafe,1,leafy,green
leather,1,leather,
leathere,1,leathery,
leav,1,leaves,
leek,1,leek,
lemon,1,lemon,citrus
lemon peel,1,lemon peel,
lemon rind,1,lemon rind,
linse,1,linseed,
lettuce,1,lettuce,
liatrix,1,liatrix,
licorice,1,licorice,
light,1,light,
lilac,1,lilac,
lile,1,lily,floral
lile of the vallee,1,lily of the valley,
lime,1,lime,citrus
lime blossom,1,lime blossom,
linalool,1,linalool,
linalyl acetate,1,linalyl acetate,
linden,1,linden,
linen,1,linen,
lemongras,1,lemongrass,
mos,1,moss,
moscato,1,moscato,
mosse,1,mossy,mossy
moth ball,1,moth ball,
mothball,1,mothball,
moulde,1,mouldy,
mouse,1,mousy,
muguet,1,muguet,
mushroom,1,mushroom,earthy
musk,1,musk,
muske,1,musky,musky
must,1,must,
meat broth,1,meat broth,
muste,1,musty,earthy
mutton,1,mutton,
myrcene,1,myrcene,
myrrh,1,myrrh,
naphtha,1,naphtha,
naphthalic,1,naphthalic,
naphthelene,1,naphthelene,
naphthyl,1,naphthyl,
narcissu,1,narcissus,
rancid,1,rancid,
natural,1,natural,
neroli,1,neroli,
new car,1,new car,
mustard,1,mustard,
meatbroth,1,meatbroth,
medical,1,medical,
medicinal,1,medicinal,medicinal
medicine,1,medicine,
mellow,1,mellow,
melon,1,melon,citrus
melon rind,1,melon rind,
menthol,1,menthol,
mentholic,1,mentholic,
mercaptan,1,mercaptan,
mesquite,1,mesquite,woody
metal,1,metal,
molde,1,moldy,
methyl acetophenone,1,methyl acetophenone,
methyl dihydrojasmonate,1,methyl dihydrojasmonate,
methyl ionone,1,methyl ionone,
mignonette,1,mignonette,
mild,1,mild,
mild cool,1,mild cooling,
mildew,1,mildew,
mimosa,1,mimosa,
mint,1,mint,
minte,1,minty,minty
moist,1,moist,
molass,1,molasses,
mold,1,mold,
metallic,1,metallic,
thujone,1,thujone,
thyme,1,thyme,
thymol,1,thymol,
toast,1,toasted,
tobacco,1,tobacco,tobacco
tobacco leaf,1,tobacco-leaf,
toffee,1,toffee,
tolu,1,tolu,
toluene,1,toluene,
tomato,1,tomato,vegetable
tomato leaf,1,tomato leaf,
tomatoleaf,1,tomatoleaf,
red rose,1,red rose,
tree,1,tree,
tropic,1,tropical,
tropic fruit,1,tropical fruit,
tropica,1,tropica,fruity
truffle,1,truffle,
tuberose,1,tuberose,
turnup,1,turnup,
turpentine,1,turpentine,
tutti frutti,1,tutti frutti,
undecatriene,1,undecatriene,
undecylenic,1,undecylenic,
undergrowth,1,undergrowth,
tonka,1,tonka,
sugar,1,sugar,
sulfide,1,sulfide,
sweat,1,sweat,
sweate,1,sweaty,
sweet,1,sweet,balsamic
sweet corn,1,sweet corn,
syrup,1,syrup,
taco,1,taco,
tagette,1,tagette,
tallow,1,tallow,
tange,1,tangy,
tangerine,1,tangerine,
thuja,1,thuja,
tarragon,1,tarragon,
tarre,1,tarry,
tart,1,tart,fruity
tart lime,1,tart lime,
tartlime,1,tartlime,
tea,1,tea,
terpene,1,terpene,
terpenic,1,terpenic,
terpentine,1,terpentine,
terpineol,1,terpineol,
thiamin,1,thiamin,
thiamine,1,thiamine,
tar,1,tar,
warm,1,warm,
wasabi,1,wasabi,
watercres,1,watercress,
watere,1,watery,
watermelon,1,watermelon,fruity
wax,1,wax,
waxe,1,waxy,
weak,1,weak,
weak spice,1,weak spice,
ylang,1,ylang,
acetate,1,acetate,
wet,1,wet,
unpleasant,1,unpleasant,
wetcloth,1,wetcloth,
whiskee,1,whiskey,wine_like
wild,1,wild,
wine,1,wine,
wine lee,1,wine-lee,
wine like,1,wine_like,wine_like
winee,1,winey,
wintergreen,1,wintergreen,green
wood,1,wood,
woode,1,woody,woody
yeast,1,yeast,
yeaste,1,yeasty,
wet cloth,1,wet cloth,
unripe banana,1,unripe banana,
unripe fruit,1,unripe fruit,
unripe plum,1,unripe plum,
urine,1,urine,
valerian,1,valerian,
valeric,1,valeric,
vanilla,1,vanilla,balsamic
vanillin,1,vanillin,
vegetable,1,vegetable,vegetable
vegetable skin,1,vegetable skin,
velvete,1,velvety,
verbena,1,verbena,
walnut,1,walnut,nutty
vere intense,1,very intense,
vere mild,1,very mild,
vere slight,1,very slight,
vere strong,1,very strong,
vere sweet,1,very sweet,
vetiver,1,vetiver,
vetiver acetate,1,vetiver acetate,
vine,1,vine,
weede,1,weedy,
vinou,1,vinous,
vinyl,1,vinyl,
violet,1,violet,floral
violet leaf,1,violet-leaf,
vere faint,1,very faint,
roote,1,rooty,
roquefort cheese,1,roquefort cheese,
rose acetate,1,rose acetate,
rose bud,1,rose bud,
rose de mai,1,rose de mai,
rose dri,1,rose dried,
rose flower,1,rose flower,
rose oxide,1,rose oxide,
rose petal,1,rose petals,
rose water,1,rose water,
rosemare,1,rosemary,
rott,1,rotting,
styrene,1,styrene,
rubber,1,rubber,
rubbere,1,rubbery,
rue,1,rue,
rum,1,rum,wine_like
rumme,1,rummy,
russian,1,russian,
rye,1,rye,
saffron,1,saffron,
sage,1,sage,herbaceous
salicylate,1,salicylate,
salmon,1,salmon,
salt,1,salt,
rotten,1,rotten,
raspberre,1,raspberry,fruity
raw,1,raw,
red cedar,1,red cedar,
red fruit,1,red fruit,
red hot,1,red hots,
launder cloth,1,laundered cloths,
repulsive,1,repulsive,
reseda,1,reseda,
resin,1,resin,
resinou,1,resinous,
rhodinol,1,rhodinol,
rhubarb,1,rhubarb,
rootbeer,1,rootbeer,
ricotta,1,ricotta,
ripe,1,ripe,
ripe apricot,1,ripe apricot,
roast almond,1,roasted almonds,
roast beef,1,roast beef,
roast in sugar syrup,1,roasted in sugar syrup,
roast meat,1,roasted meat,
roastbeef,1,roastbeef,
roastedmeat,1,roastedmeat,
roastednut,1,roastednut,
romano,1,romano,
root,1,root,
rich,1,rich,
slight ethereal,1,slightly ethereal,
slight fruit,1,slightly fruity,
slight metallic,1,slightly metallic,
slight roast nut,1,slightly roasted nut,
slight rose,1,slightly rose,
slight waxe,1,slightly waxy,
soap,1,soap,
soape,1,soapy,soapy
soft,1,soft,
soil,1,soil,
solvent,1,solvent,
soup,1,soup,
sandal,1,sandal,
sour,1,sour,fatty
soy,1,soy,
soybean,1,soybean,
spearmint,1,spearmint,
spr,1,spring,
stem,1,stem,
stinke,1,stinky,
storax,1,storax,
straw,1,straw,
strawberre,1,strawberry,fruity
strong,1,strong,
styrax,1,styrax,
soupe,1,soupy,
sandalwood,1,sandalwood,
sande,1,sandy,
sap,1,sap,
sappe,1,sappy,
sarsaparilla,1,sarsaparilla,
sassafras,1,sassafrass,
sausage,1,sausage,
sawdust,1,sawdust,
sawen,1,sawen,
scallion,1,scallion,
sea,1,sea,
sea breeze,1,sea breeze,
slight,1,slight,
seashell,1,seashell,
seashore,1,seashore,
seaside,1,seaside,
seawe,1,seaweed,
seede,1,seedy,seedy
sensual,1,sensual,
sharp,1,sharp,
shellfish,1,shellfish,
shrimp,1,shrimp,
sick,1,sick,
sicken,1,sickening,
skunk,1,skunk,
skunke,1,skunky,
seafood,1,seafood,
buchu,1,buchu,
burnt,1,burnt,
burnt almond,1,burnt almonds,
burnt sugar,1,burnt sugar,
burntsugar,1,burntsugar,
butter milk,1,buttermilk,
butyrate,1,butyrate,
butyric,1,butyric,
cabbage,1,cabbage,vegetable
cacao,1,cacao,
caco,1,caco,
cadaverou,1,cadaverous,
kiwi,1,kiwi,
camomile,1,camomile,
camphor,1,camphor,
camphoraceou,1,camphoraceous,camphoraceous
camphoreou,1,camphoreous,
cananga,1,cananga,
cande,1,candy,
cantaloupe,1,cantaloupe,fruity
cantaloupe rind,1,cantaloupe rind,
caper,1,capers,
caramel,1,caramel,balsamic
caramellic,1,caramellic,
carao,1,carao,
cake,1,cake,
boi de rose,1,bois de rose,
boil beef,1,boiled beef,
boil egg,1,boiled egg,
boil meat,1,boiled meat,
boil shrimp,1,boiled shrimp,
boil vegetable,1,boiled vegetable,
boiledvegetable,1,boiledvegetable,
borneol,1,borneol,
boronia,1,boronia,
bouillon,1,bouillon,
bourbon,1,bourbon,
box tree,1,box tree,
brussel sprout,1,brussel sprouts,
brande,1,brandy,wine_like
brassylate,1,brassylate,
bread,1,bread,
bread crust,1,bread crust,
breade,1,bready,
broccoli,1,broccoli,
broom,1,broom,
broth,1,broth,
brothe,1,brothy,
brown,1,brown,
brown sugar,1,brown sugar,
brownsugar,1,brownsugar,
boxtree,1,boxtree,
chicken coop,1,chicken coop,
chip,1,chip,
chlorine,1,chlorine,
chloroform,1,chloroform,
chocolate,1,chocolate,balsamic
chrysanthemum,1,chrysanthemum,
cigar box,1,cigar box,
cinnamate,1,cinnamate,
cinnamic,1,cinnamic,
cinnamon,1,cinnamon,balsamic
cinnamyl,1,cinnamyl,
cistu,1,cistus,
carawae,1,caraway,herbaceous
citralva,1,citralva,
citric,1,citric,
citronella,1,citronella,
citronellol,1,citronellol,
citronellyl acetate,1,citronellyl acetate,
citru,1,citrus,citrus
citru peel,1,citrus peel,
civet,1,civet,
clam,1,clam,
clare,1,clary,
clean,1,clean,
clove,1,clove,herbaceous
citral,1,citral,
cardamom,1,cardamom,
cardboard,1,cardboard,
carnation,1,carnation,floral
carrot,1,carrot,
carvone,1,carvone,
cashew,1,cashew,
caske,1,casky,
cassi,1,cassis,
cassia,1,cassia,
cassie,1,cassie,
castoreum,1,castoreum,
cat,1,cat,
chicken,1,chicken,
catte,1,catty,
cauliflower,1,cauliflower,
cayloxol,1,cayloxol,
cedar,1,cedar,woody
cedarleaf,1,cedarleaf,
cedarwood,1,cedarwood,
celere,1,celery,vegetable
celere seed,1,celery seed,
cereal,1,cereal,
chamomile,1,chamomile,
chemical,1,chemical,
cherre,1,cherry,fruity
cherre pit,1,cherry-pit,
cat urine,1,cat-urine,
allspice,1,allspice,
almond,1,almond,nutty
almond shell,1,almond shell,
almondshell,1,almondshell,
almost odorles,1,almost odorless,
amber,1,amber,
ambergri,1,ambergris,
ambrette,1,ambrette,
ambrette seed,1,ambrette seed,
ambrette seed effect,1,ambrette seed effect,
amine,1,amine,
ammonia,1,ammonia,
blueberre,1,blueberry,
amyl butyl ester,1,amyl butyl ester,
amyri,1,amyris,
angelic,1,angelic,
angelica,1,angelica,
animal,1,animal,animal
anisic,1,anisic,
anisyl acetate,1,anisyl acetate,
apple,1,apple,fruity
apple juice,1,apple juice,
apple peel,1,apple peel,
apple rose,1,apple.rose,
apple skin,1,apple skin,
ammoniacal,1,ammoniacal,
absolute,1,absolute,
acacia,1,acacia,
vinegar,1,vinegar,
aldehyde,1,aldehyde,
4 t butyl cyclohexyl acetate,1,4-t-butyl cyclohexyl acetate,
acetic,1,acetic,
acetoin,1,acetoin,
acetone,1,acetone,
acetophenone,1,acetophenone,
acid,1,acid,
acidic,1,acidic,
acorn,1,acorn,
allo ocimenol,1,allo-ocimenol,
acrylate,1,acrylate,
acrylic,1,acrylic,
adoxal,1,adoxal,
air marine,1,air marine,
alcohol,1,alcohol,chemical
alcoholic,1,alcoholic,
weakspice,1,weakspice,
aldehydic,1,aldehydic,
algae,1,algae,
alkaline,1,alkaline,
alkane,1,alkane,
alliaceou,1,alliaceous,
acrid,1,acrid,
beeswax,1,beeswax,
beet,1,beet,
bell,1,bell,
benzaldehyde,1,benzaldehyde,
benzophenone,1,benzophenone,
benzyl acetate,1,benzyl acetate,
benzyl propionate,1,benzyl propionate,
bergamot,1,bergamot,
berre,1,berry,fruity
bilberre,1,bilberry,
bisabolene,1,bisabolene,
biscuit,1,biscuit,
applepeel,1,applepeel,
bitter almond,1,bitter almond,
bitteralmond,1,bitteralmond,
black currant,1,black currant,
black tea,1,black tea,
blackberre,1,blackberry,
blackcurrant,1,blackcurrant,
bland,1,bland,
bloode,1,bloody,
bloome,1,bloomy,
blossom,1,blossom,floral
blue cheese,1,blue cheese,
bluebell,1,bluebell,
bitter,1,bitter,
apricot,1,apricot,fruity
armoise,1,armoise,
aromatic,1,aromatic,
arrack,1,arrack,
artichoke,1,artichoke,
asprin,1,asprin,
astringent,1,astringent,
autumn,1,autumn,
azalea,1,azalea,
bacon,1,bacon,meaty
bak,1,baked,
balsam,1,balsam,balsamic
beer,1,beer,wine_like
banana,1,banana,fruity
banana peel,1,banana peel,
banana skin,1,banana skin,
bark,1,bark,
barlee,1,barley,
basil,1,basil,
bay oil,1,bay oil,
bean,1,bean,
beane,1,beany,
beef,1,beef,meaty
beef gravee,1,beef gravey,
beef juice,1,beef juice,
beefe,1,beefy,
balsamic,1,balsamic,
glue,1,glue,
gooseberre,1,gooseberry,
grain,1,grain,
grape,1,grape,fruity
grape skin,1,grape skin,
grapefruit,1,grapefruit,fruity
grapefruit peel,1,grapefruit peel,
grapefruit skin,1,grapefruit skin,
gras,1,grass,
grasse,1,grassy,
grave,1,gravy,
grease,1,greasy,
clover,1,clover,
green bean,1,green bean,
green leaf,1,green leaf,
green onion,1,green onions,
green pepper,1,green pepper,
green tea,1,green tea,
greenbean,1,greenbean,
greenleaf,1,greenleaf,
greenpepper,1,greenpepper,
grill,1,grilled,
grocere store,1,grocery store,
ground,1,ground,
guaiacol,1,guaiacol,
green,1,green,green
foxe,1,foxy,
fragrant,1,fragrant,
freesia,1,freesia,
fresh,1,fresh,
fresh air,1,fresh air,
fresh bruis dock leav,1,freshly bruised dock leaves,
fresh bruis mallow leav,1,freshly bruised mallow leaves,
fresh bruis sage leav,1,freshly bruised sage leaves,
fresh outdoor,1,fresh outdoors,
fresh plow soil,1,freshly plowed soil,
fri,1,fried,
fungal,1,fungal,
ginger root oil,1,ginger root oil,
fusel,1,fusel,
galbanum,1,galbanum,
gardenia,1,gardenia,floral
garlic,1,garlic,
gasoline,1,gasoline,
gasse,1,gassy,
genet,1,genet,
genista,1,genista,
genuine,1,genuine,
geranium,1,geranium,floral
gin,1,gin,
ginger,1,ginger,
furfural,1,furfural,
incense,1,incense,
indole,1,indole,
iodine,1,iodine,
ionone,1,ionone,
iri,1,iris,floral
irone,1,irone,
isoeugenol,1,isoeugenol,
isojasmone,1,isojasmone,
jam,1,jam,fruity
jam preserv,1,jam preserves,
jamme,1,jammy,
jasmin,1,jasmin,
guaiacwood,1,guaiacwood,
jasmone,1,jasmone,
juice,1,juicy,
juniper,1,juniper,
juniper berre,1,juniper berry,
ketone,1,ketone,
ketonic,1,ketonic,
absinthe,1,absinthe,
labdanum,1,labdanum,
lactone,1,lactone,
lactonic,1,lactonic,
lamb,1,lamb,
lard,1,lard,
jasmine,1,jasmine,floral
haire,1,hairy,
ham,1,ham,
hard yolk,1,hard yolk,
harsh,1,harsh,
hawthorn,1,hawthorn,
hawthorne,1,hawthorne,floral
hay,1,hay,
hazelnut,1,hazelnut,nutty
heather,1,heather,
heave,1,heavy,
heliotrope,1,heliotrope,
heliotropin,1,heliotropin,
immortelle,1,immortelle,
honeydew,1,honeydew,
honeysuckle,1,honeysuckle,
hop oil,1,hop_oil,fatty
horseradish,1,horseradish,vegetable
hot,1,hot,
hot milk,1,hot milk,
hotmilk,1,hotmilk,
humid,1,humid,
hummu,1,hummus,
humu,1,humus,
hyacinth,1,hyacinth,floral
hydroxycitronellal,1,hydroxycitronellal,
iactonic,1,iactonic,
honee,1,honey,balsamic
creosote,1,creosote,
cresol,1,cresol,
crispe,1,crispy,
crush bug,1,crushed bug,
crushedbug,1,crushedbug,
cucumber,1,cucumber,vegetable
cucumber seed,1,cucumber seed,
cucumber skin,1,cucumber skin,
cultur daire,1,cultured dairy,
cumin,1,cumin,
cuminic acetate,1,cuminic acetate,
cuminse,1,cuminseed,
formyl,1,formyl,
custard,1,custard,
cut gras,1,cut grass,
cut privet,1,cut privet,
cyclamen,1,cyclamen,
cypres,1,cypress,
daire,1,dairy,
damascone,1,damascone,
damp,1,damp,
dank,1,dank,
dark,1,dark,
date,1,date,
decompos cabbage,1,decomposing cabbage,
curre,1,curry,
cocoa,1,cocoa,
coconut,1,coconut,fruity
coffee,1,coffee,
cognac,1,cognac,
cologne,1,cologne,
concord grape,1,concord grape,
cook,1,cooked,
cook beef juice,1,cooked beef juice,
cook meat,1,cooked meat,
cook potato,1,cooked potato,
cook vegetable,1,cooked vegetable,
cookedmeat,1,cookedmeat,
cranberre,1,cranberry,fruity
cookedvegetable,1,cookedvegetable,
cooky,1,cookies,
coriander,1,coriander,
corn,1,corn,vegetable
cortex,1,cortex,
costu,1,costus,
cotton,1,cotton,
cotton cande,1,cotton candy,
cottoncande,1,cottoncandy,
coumarin,1,coumarin,spicy
coumarinic,1,coumarinic,
crab,1,crab,
cookedpotato,1,cookedpotato,
everlast,1,everlasting,
extreme sweet,1,extremely sweet,
faint,1,faint,
farnesol,1,farnesol,
fecal,1,fecal,
feet,1,feet,
fenchyl,1,fenchyl,
fennel,1,fennel,herbaceous
fenugreek,1,fenugreek,
ferment,1,fermented,
fern,1,fern,
feta cheese,1,feta cheese,
deep,1,deep,
filbert,1,filbert,
fine,1,fine,
fir,1,fir,
fir needle,1,fir needle,
flat,1,flat,
fleafe,1,fleafy,
fleshe,1,fleshy,
floral,1,floral,floral
flower,1,flower,
flower shop,1,flower shop,
foliage,1,foliage,
forest,1,forest,
fig,1,fig,
delicate,1,delicate,
dewe,1,dewy,
diffusive,1,diffusive,
dihydrolinalool,1,dihydrolinalool,
dill,1,dill,
diphenyl oxide,1,diphenyl oxide,
dirt,1,dirt,
dirte,1,dirty,
diterpene,1,diterpene,
dri berre,1,dried berry,
dri fruit,1,dried fruit,
dri raspberre,1,dried raspberry,
eugenol,1,eugenol,
durian,1,durian,
dust,1,dust,
duste,1,dusty,
egg,1,egg,
elderflower,1,elderflower,
elemi,1,elemi,
ester,1,ester,
estere,1,estery,
ether,1,ether,
ethereal,1,ethereal,
ethyl benzoate,1,ethyl benzoate,
ethyl safranate,1,ethyl safranate,
eucalyptu,1,eucalyptus,
dry,1,dry,
